xdg-desktop-portal 1.7.2-1
xdg-desktop-portal-kde 5.18.4.1-1
xdg-su 1.2.3-1
xdg-user-dirs 0.17-2
xdg-utils 1.1.3+19+g9816ebb-1
xf86-input-elographics 1.4.2-1
xf86-input-evdev 2.10.6-1
xf86-input-libinput 0.29.0-2
xf86-input-void 1.4.1-4
xfsprogs 5.5.0-1
xorg-server 1.20.8-1
xorg-twm 1.0.10-1
xorg-xbacklight 1.2.3-1
xorg-xinit 1.4.1-1
xorg-xkill 1.0.5-1
yajl 2.1.0-2
yakuake 19.12.3-1
yay 9.4.6-2
zsh 5.8-1
zsh-autosuggestions 0.6.4-1
zsh-syntax-highlighting 0.7.1-1
